Month,usg_apt,fg_apt,carrier,type,Scheduled
6,ORD,GDL,AM,Passengers,21121
6,MIA,LIM,AA,Passengers,20995
6,MIA,CDG,AF,Passengers,20983
6,ORD,AUH,EY,Passengers,20868
6,SFO,YVR,AC,Passengers,20826
6,IAH,LHR,BA,Passengers,20768
6,SWF,DUB,D8,Passengers,20743
6,PHL,MBJ,AA,Passengers,20698
6,SJU,SDQ,B6,Passengers,20638
6,EWR,TLV,LY,Passengers,20631
6,ATL,ICN,KE,Passengers,20455
6,SEA,DXB,EK,Passengers,20432
6,LAX,SAL,TA,Passengers,20382
6,DEN,YVR,UA,Passengers,20364
6,JFK,WAW,LO,Passengers,20356
6,HNL,KIX,D7,Passengers,20343
6,ORD,YYZ,AC,Passengers,20334
6,JFK,KBP,PS,Passengers,20313
6,DEN,FRA,LH,Passengers,20299
6,JFK,CMN,AT,Passengers,20273
6,JFK,CUN,DL,Passengers,20259
6,MIA,YYZ,AA,Passengers,20258
6,MCO,FRA,LH,Passengers,20256
6,FLL,NAS,B6,Passengers,20252
6,FLL,YUL,RV,Passengers,20227
6,ORD,DXB,EK,Passengers,20212
6,DFW,SYD,QF,Passengers,20194
6,SEA,FRA,LH,Passengers,20166
6,SEA,TPE,BR,Passengers,20158
6,FLL,KIN,B6,Passengers,20139
6,MSP,YYC,DL,Passengers,20088
6,FLL,YYZ,RV,Passengers,20043
6,DFW,DXB,EK,Passengers,20037
6,EWR,AUA,UA,Passengers,19988
6,IAD,CUN,UA,Passengers,19984
6,HNL,ICN,KE,Passengers,19917
6,EWR,CDG,SE,Passengers,19906
6,MIA,GYE,AA,Passengers,19894
6,EWR,FRA,LH,Passengers,19822
6,CLT,AUA,AA,Passengers,19803
6,ORD,MEX,AM,Passengers,19793
6,ORD,YUL,KV,Passengers,19742
6,MIA,MEX,AM,Passengers,19698
6,IAD,DOH,QR,Passengers,19692
6,PHL,CUN,AA,Passengers,19672
6,IAD,ADD,ET,Passengers,19654
6,IAH,LIR,UA,Passengers,19626
6,ORD,DOH,QR,Passengers,19613
6,ATL,YUL,9E,Passengers,19592
6,SFO,TPE,CI,Passengers,19569
6,EWR,BCN,DY,Passengers,19548
6,LAX,TPE,CI,Passengers,19497
6,EWR,FCO,DY,Passengers,19491
6,SFO,IST,TK,Passengers,19448
6,JFK,CDG,DY,Passengers,19446
6,SEA,YVR,QX,Passengers,19446
